idProduct,idCategory,avg,low,trend,avg1,avg7,avg30
743344,1611,12.5,15.0,11.6,15.0,19.75,19.75
743345,1611,10.0,24.99,10.07,10.0,26.67,26.67
743346,1611,,33.95,34.21,33.99,38.16,38.16
743347,1611,7.99,4.2,6.02,7.99,6.72,6.38
743348,1611,,4.0,4.22,4.91,4.69,6.4
743349,1611,,8.95,8.84,8.0,8.96,8.21
743350,1611,2.38,2.5,1.88,2.75,3.17,3.35
743351,1611,8.0,8.0,10.48,8.0,10.33,11.53
743352,1611,8.28,6.0,10.33,6.0,8.16,10.15
743353,1611,13.45,9.99,10.58,15.0,11.37,10.4
743354,1611,9.99,10.0,10.48,9.99,11.75,11.96
743360,1612,,150.0,,,,
743361,1612,60.0,80.0,56.86,,,
743364,1612,0.23,0.15,0.41,,,
743365,1612,0.97,0.2,0.77,,,
743367,1611,0.28,0.02,0.46,0.4,0.45,0.43
743368,1611,0.94,0.25,0.8,0.68,0.93,0.87
743369,1611,0.1,0.1,0.24,0.1,0.22,0.36
743370,1611,,0.85,1.65,0.9,1.53,1.81
743371,1611,0.38,0.02,0.23,0.82,0.33,0.19
743373,1611,0.03,0.02,0.08,0.1,0.1,0.14
743374,1611,0.09,0.02,0.08,0.14,0.07,0.14
743375,1611,0.73,0.02,0.87,1.98,1.07,0.71
743376,1611,0.04,0.02,0.15,0.1,0.15,0.09
743377,1611,0.49,0.05,0.42,0.2,0.59,0.65
743379,1611,0.1,0.02,0.25,0.2,0.1,0.17
743722,1611,53.55,60.0,53.14,53.55,73.36,128.18
743723,1611,23.32,14.49,12.88,25.4,18.12,18.66
743724,1611,9.75,9.9,8.49,9.0,10.49,14.31
743725,1611,9.49,8.0,9.54,9.49,9.36,8.87
743726,1611,17.25,16.0,17.72,17.0,18.67,16.48
743727,1611,160.0,150.0,0.02,160.0,312.84,312.84
743729,1611,111.8,169.0,0.02,169.0,106.28,211.4
743730,1611,21.0,20.0,0.02,22.0,23.56,63.2
743731,1611,26.61,18.0,0.02,21.99,24.9,50.98
743732,1611,16.97,15.0,0.02,15.0,15.99,35.33
743733,1611,2.13,1.0,2.12,1.0,2.66,1.94
743734,1611,2.21,2.0,2.1,2.25,2.19,2.27
743735,1611,3.73,2.8,3.59,3.0,3.8,4.1
744156,1611,13.26,10.0,10.71,14.0,14.06,6.42
744157,1611,4.0,3.0,4.05,4.0,3.84,2.74
744158,1611,4.45,3.4,3.13,4.0,4.54,5.72
744159,1611,4.24,3.0,3.65,4.99,4.43,4.77
744160,1611,1.2,0.89,0.89,1.4,1.34,1.31
744161,1611,1.0,0.99,1.58,2.0,1.62,1.43
744162,1611,4.04,4.49,2.87,5.0,3.92,4.77
744163,1611,,1.0,2.71,0.99,2.81,1.69
744164,1611,12.5,9.0,12.08,10.0,11.5,9.47
744165,1611,10.0,10.0,10.2,10.0,10.77,8.61
744166,1611,15.79,15.31,15.31,18.2,16.66,24.27
744167,1611,10.0,12.0,9.66,12.99,10.5,12.74
744168,1612,6.5,9.99,8.0,,,
744169,1611,17.4,15.0,18.89,17.4,17.78,15.12
744170,1611,9.98,9.95,9.63,9.98,10.12,10.59
744171,1611,,10.0,12.66,10.0,11.74,12.92
744172,1611,17.03,14.35,16.65,16.99,17.19,15.45
744173,1611,20.96,17.95,20.56,24.9,19.5,18.2
744174,1611,19.88,20.0,21.34,24.75,18.47,21.0
744175,1611,24.0,22.0,27.54,23.49,34.47,37.9
744176,1611,10.98,9.0,10.18,10.99,10.57,11.76
744177,1611,15.71,10.0,16.86,14.5,18.04,21.83
744178,1611,0.02,0.02,0.03,0.03,0.03,0.03
744179,1611,0.03,0.02,0.04,0.03,0.04,0.04
744190,1612,2.5,1.0,1.8,,,
744191,1611,0.12,0.02,0.21,0.5,0.26,0.26
744192,1611,3.55,6.0,6.55,7.5,6.74,7.01
744687,1611,0.28,0.1,0.25,0.2,0.28,0.34
744688,1611,0.45,0.02,0.47,0.25,0.5,0.36
744689,1611,,10.0,9.46,9.5,9.7,7.91
744690,1611,2.01,0.89,1.83,1.5,1.69,1.69
744894,1611,4.94,4.5,5.99,4.94,5.37,5.22
744895,1611,0.5,0.25,0.61,0.5,0.53,0.62
744896,1611,0.87,0.2,1.09,0.73,0.87,1.11
744897,1611,0.1,0.05,0.23,0.19,0.25,0.29
744898,1611,0.55,0.02,0.62,0.34,0.75,0.77
744899,1611,,0.5,1.46,0.7,1.88,1.45
744900,1611,21.7,16.0,10.68,20.0,21.76,25.05
744901,1611,8.0,8.35,7.37,8.0,10.21,13.4
744902,1611,20.13,10.0,17.25,20.13,18.13,17.61
744903,1611,6.5,6.98,10.47,9.49,8.42,8.61
744904,1611,19.62,15.0,21.22,19.5,20.19,23.43
744905,1611,4.5,3.0,12.25,4.5,8.09,15.64
744906,1611,2.83,1.99,2.64,2.75,2.75,3.21
744907,1611,3.13,1.49,2.91,2.0,2.86,3.05
744908,1611,3.24,2.39,3.33,2.25,3.54,3.52
744909,1611,2.07,2.5,1.76,1.87,2.08,2.27
744910,1611,3.35,2.99,3.98,3.0,3.39,3.62
744911,1611,4.8,4.49,4.68,3.5,4.83,4.33
744912,1611,6.95,4.5,8.15,5.0,6.86,3.46
744914,1611,1.75,1.09,1.4,1.75,1.65,2.04
744916,1611,0.9,1.0,0.37,1.5,1.63,2.54
744918,1611,0.25,0.15,0.02,0.25,0.23,1.22
744919,1611,0.38,0.34,0.28,0.4,0.61,1.16
744920,1611,1.64,1.0,1.18,1.64,1.57,2.53
744921,1611,0.5,0.2,0.32,0.5,0.23,0.42
744922,1611,0.98,0.89,0.87,0.98,1.58,1.79
744923,1611,,0.06,0.33,0.07,0.31,0.32
744925,1611,0.49,0.3,0.25,0.49,0.32,0.66
744926,1611,0.09,0.15,0.07,0.09,0.26,0.51
744927,1611,0.1,0.1,0.45,0.09,0.38,0.7
744928,1611,0.28,0.05,0.16,0.28,0.18,0.22
744929,1611,0.12,0.02,0.11,0.12,0.33,0.51
744930,1611,,0.24,1.0,1.08,0.97,0.88
744931,1611,0.22,0.05,0.02,0.19,0.19,0.46
744932,1611,0.44,0.3,0.59,0.44,0.64,0.84
744933,1611,0.4,0.25,0.26,0.4,0.57,0.82
744934,1611,0.08,0.04,0.08,0.08,0.31,0.38
744935,1611,0.98,0.49,0.02,1.0,1.02,2.76
744936,1611,2.43,0.5,0.02,2.43,1.51,8.54
744937,1611,0.25,0.1,0.02,0.25,0.26,0.71
744938,1611,0.45,0.35,0.35,0.5,0.54,0.96
744939,1611,0.35,0.24,0.02,0.35,0.34,0.81
744940,1611,0.5,0.35,1.17,0.5,2.61,2.04
744941,1611,0.9,0.9,0.07,0.9,0.85,2.46
744942,1611,0.27,0.1,0.14,0.27,0.4,0.61
744943,1611,,0.45,1.0,0.9,1.42,1.42
744944,1611,1.99,0.95,1.53,1.99,1.67,0.99
744945,1611,0.16,0.02,0.11,0.02,0.22,0.33
744946,1611,0.2,0.17,0.02,0.2,0.33,0.92
744947,1611,0.05,0.1,0.43,0.05,0.46,0.44
744948,1611,3.45,0.75,2.92,3.45,7.12,8.63
744949,1611,0.9,0.75,0.42,1.1,1.19,2.8
744950,1611,0.37,0.19,0.38,0.37,0.39,0.66
744951,1611,0.49,0.13,0.02,0.3,0.21,0.61
744952,1611,0.32,0.09,0.08,0.32,0.31,0.44
744953,1611,0.5,0.35,0.45,0.5,0.54,0.62
744954,1611,0.49,0.09,0.37,0.49,0.43,0.4
744955,1611,0.75,0.6,0.31,0.75,0.92,0.97
744956,1611,1.0,0.24,0.86,1.0,0.84,0.75
744957,1611,0.2,0.05,0.18,0.2,0.26,0.5
744958,1611,1.0,0.09,0.31,1.0,0.46,0.35
744959,1611,0.38,0.02,0.17,0.15,0.14,0.28
744960,1611,,3.5,4.89,4.49,5.19,7.01
744961,1611,,0.05,0.03,0.3,0.17,0.77
744962,1611,0.55,0.55,0.6,0.55,0.84,1.32
744963,1611,,0.19,0.12,0.25,0.36,0.72
745646,1611,7.33,10.0,6.99,5.0,6.71,3.92
745647,1611,7.99,5.0,8.22,7.99,7.39,8.09
745648,1611,1.5,1.0,1.79,1.0,1.55,1.88
745649,1611,1.48,0.99,1.04,0.99,1.28,2.69
745650,1611,0.87,0.5,1.09,0.9,0.87,1.28
745651,1611,0.5,0.1,0.47,0.9,0.37,0.34
745652,1611,1.0,1.35,1.62,2.0,1.42,1.33
745653,1611,1.13,0.89,1.61,1.25,1.27,0.99
745654,1611,0.6,0.09,0.48,0.98,0.48,0.44
745655,1611,0.52,0.5,0.66,0.5,0.53,0.58
747253,1611,3.0,1.0,1.21,1.0,2.55,3.14
747254,1611,,2.5,4.22,5.0,4.91,5.89
747255,1611,4.75,2.5,3.0,5.0,4.29,9.75
747256,1611,0.99,1.0,1.32,0.99,1.8,2.07
747257,1611,2.86,2.0,1.55,3.3,3.18,5.29
747258,1611,1.5,1.99,1.72,1.7,3.09,6.9
747259,1611,6.5,3.0,0.74,6.5,5.39,9.97
747260,1611,4.0,2.95,3.25,4.0,3.76,4.89
747261,1611,,2.0,3.06,5.99,3.44,4.56
747262,1611,6.29,4.0,6.33,6.58,6.86,7.4
747263,1611,3.99,5.0,4.75,5.99,4.23,4.12
747264,1611,,3.0,3.39,3.69,3.51,3.59
747265,1611,1.5,1.5,1.48,1.5,2.47,3.87
747266,1611,2.0,1.95,2.86,2.0,2.96,3.32
747267,1612,,4.5,12.44,,,
747871,1612,2.5,2.5,3.97,,,
747872,1613,129.99,129.9,132.01,,,
747873,1613,,,,,,
747914,1611,200.0,800.0,200.0,200.0,200.0,200.0
747917,1611,,4500.0,,,,
747918,1611,,,,,,
747919,1611,,7000.0,,,,
749671,1612,4.99,3.5,4.39,,,
749672,1613,88.66,54.99,84.74,,,
749673,1613,,,1099.0,,,
749679,1612,,13.98,31.67,,,
